Code,Paper Name,Credits
ES-306P,Embedded System Architecture and Design Lab,1
ES-401T,Programming in C for Embedded Systems,3
ES-401P,Programming in C for Embedded Systems Lab,1
ES-403T,VHDL Programming,3
ES-403P,VHDL Programming Lab,1
ES-405T,Real Time Embedded System Programming,3
ES-405P,Real Time Embedded System Programming Lab,1
ES-407T,Embedded Linux,3
ES-407P,Embedded Linux Lab,1
IOT-409T,Introduction to Sensors and Transducers,3
IOT-409P,Introduction to Sensors and Transducers Lab,1
ES-411T,Logic Design and Analysis using Verilog,3
ES-411P,Logic Design and Analysis using Verilog Lab,1
VLSI-328T,Semiconductor Devices and Modelling,3
VLSI-328P,Semiconductor Devices and Modelling Lab,1
VLSI-330T,VLSI,3
VLSI-330P,VLSI Lab,1
VLSI-443T,CMOS Analog Integrated Circuit Design,3
VLSI-443P,CMOS Analog Integrated Circuit Design Lab,1
VLSI-445T,CMOS Digital Circuits Design,3
VLSI-445P,CMOS Digital Circuits Design Lab,1
VLSI-447,CMOS Mixed Signal Circuit Design,4
VLSI-449T,Low Power VLSI Design,3
VLSI-449P,Low Power VLSI Design Lab,1
VLSI-451,VLSI Testing,4
MT-312T,Energy Storage Systems in Microgrids,3
MT-312P,Energy Storage Systems in Microgrids Lab,1
MT-314T,Modeling and Analysis of Microgrids,3
MT-314P,Modeling and Analysis of Microgrids Lab,1
MT-419T,Microgrid Stability Assessment and Protection,3
MT-419P,Microgrid Stability Assessment and Protection Lab,1
MT-421T,Human Machine Interface for Microgrids,3
MT-421P,Human Machine Interface for Microgrids Lab,1
MT-423T,Power Quality for Microgrids,3
MT-423P,Power Quality for Microgrids Lab,1
CI-306T,PLC and SCADA Systems,3
CI-306P,PLC and SCADA Systems Lab,1
CI-407T,Advanced Control Systems for Instrumentation,3
CI-407P,Advanced Control Systems for Instrumentation Lab,1
CI-409T,Neuro Fuzzy Systems,3
CI-409P,Neuro Fuzzy Systems Lab,1
CI-411T,Non-linear System Design,3
CI-411P,Non-linear System Design Lab,1
WMC-332T,Optical Networks,3
WMC-332P,Optical Networks Lab,1
WMC-334T,Random Processes and Stochastic Systems,3
WMC-334P,Random Processes and Stochastic Systems Lab,1
WMC-336T,Wireless Communication and Networks,3
WMC-336P,Wireless Communication and Networks Lab,1
WMC-338T,Cellular and Mobile Communication,3
WMC-338P,Cellular and Mobile Communication Lab,1
WMC-453T,Ad hoc and Sensor Networks,3
WMC-453P,Ad hoc and Sensor Networks Lab,1
WMC-455T,Mobile Computing,3
WMC-455P,Mobile Computing Lab,1
WMC-457,Cognitive Radio & Networks,4
WMC-459,Privacy and Security in Wireless Networks,4
PS-320T,"Electricity Generation, Transmission and Utilization",3
PS-320P,"Electricity Generation, Transmission and Utilization Lab",1
PS-322T,EHVAC and HVDC Transmission,3
PS-322P,EHVAC and HVDC Transmission Lab,1
PS-431T,Power System Operation and Control,3
PS-431P,Power System Operation and Control Lab,1
PS-433T,Flexible AC Transmission System,3
PS-433P,Flexible AC Transmission System Lab,1
PS-435T,Power System Analysis and Stability,3
PS-435P,Power System Analysis and Stability Lab,1
CADM-302T,Introduction to CAD/CAM,3
CADM-302P,Introduction to CAD/CAM Lab,1
CADM-304T,Injection Moulding and Mould Design,3
CADM-304P,Injection Moulding and Mould Design Lab,1
CADM-401T,Computational Fluid Dynamics,3
CADM-401P,Computational Fluid Dynamics Lab,1
CADM-403T,Computer Aided Design and Drafting,3
CADM-403P,Computer Aided Design and Drafting Lab,1
CADM-405T,Industrial Robotics,3
CADM-405P,Industrial Robotics Lab,1
PED-316T,Advanced Power Electronic Converters,3
PED-316P,Advanced Power Electronic Converters Lab,1
PED-318T,Industrial Control Electronics,3
PED-318P,Industrial Control Electronics Lab,1
PED-425T,Switch Mode Power Conversion,3
PED-425P,Switch Mode Power Conversion Lab,1
PED-427T,Solid State Drives,3
PED-427P,Solid State Drives Lab,1
PED-429T,Solar Photovoltaic Systems,3
PED-429P,Solar Photovoltaic Systems Lab,1
DMS-312T,Industrial Tribology,3
DMS-312P,Industrial Tribology Lab,1
DMS-314T,Quality Management & Quality Control,3
DMS-314P,Quality Management & Quality Control Lab,1
DMS-419T,Fracture Mechanics,3
DMS-419P,Fracture Mechanics Lab,1
DMS-421T,Advance Manufacturing Process,3
DMS-421P,Advance Manufacturing Process Lab,1
DMS-423T,Pressure Vessels and Piping Technology,3
DMS-423P,Pressure Vessels and Piping Technology Lab,1
EV-308T,Electric Vehicle Powertrain and Motor Design,3
EV-308P,Electric Vehicle Powertrain and Motor Design Lab,1
EV-310T,Battery Management Systems,3
EV-310P,Battery Management Systems Lab,1
EV-413T,EV Charging Infrastructure Technology,3
EV-413P,EV Charging Infrastructure Technology Lab,1
EV-415,Economics and Policies of e-Mobility,4
EV-417T,Embedded Systems for Electric Vehicles,3
EV-417P,Embedded Systems for Electric Vehicles Lab,1
DT-316T,Automobile Engineering,3
DT-316P,Automobile Engineering Lab,1
DT-425T,Mechanical Vibrations,3
DT-425P,Mechanical Vibrations Lab,1
DT-427T,Industrial Tribology,3
DT-427P,Industrial Tribology Lab,1
CEC-308,Contract Management,4
CEC-310,Advanced Construction Materials and Practices,4
CEC-413,Quality and Safety Management,4
CEC-415,Lean Construction Technology and Management,4
CEC-417,Recent Construction Technologies,4
TES-330T,Cryogenic Engineering,3
TES-330P,Cryogenic Engineering Lab,1
TES-332T,Energy Systems and Technologies,3
TES-332P,Energy Systems and Technologies Lab,1
TES-447T,Compressible Flow and Jet Propulsion,3
TES-447P,Compressible Flow and Jet Propulsion Lab,1
TES-449T,Green Energy Technology,3
TES-449P,Green Energy Technology Lab,1
TES-451T,Advanced IC Engines,3
TES-451P,Advanced IC Engines Lab,1
IE-322,Water Resource Planning,4
IE-324,Advanced Environmental Engineering and Design,4
IE-435,Metro Systems Engineering,4
IE-437T,Transport Planning and Intelligent Transportation System,3
IE-437P,Transport Planning and Intelligent Transportation System Lab,1
IE-439,Analysis and Design of High-rise Buildings and Bridges,4
QM-326T,Supply Chain Management,3
QM-326P,Supply Chain Management Lab,1
QM-328T,Flexible Manufacturing Systems,3
QM-328P,Flexible Manufacturing Systems Lab,1
QM-441T,Total Quality Management,3
QM-441P,Total Quality Management Lab,1
QM-443T,Statistical Quality Control,3
QM-443P,Statistical Quality Control Lab,1
QM-445,Organizational Behaviour,4
GTSE-318,Planning and Design of Green Buildings,4
GTSE-320,Sustainable Materials and Practices,4
GTSE-429,Green Energy Concepts in Smart Cities,4
GTSE-431,Intelligent Transportation System,4
GTSE-433,Sustainable Engineering Technologies,4
OCSE-306T,C++ Programming,3
OCSE-306P,C++ Programming Lab,1
OCSE-308,Digital Logic and Computer Design,4
OCSE-310T,Data Structures and Algorithms,3
OCSE-310P,Data Structures and Algorithms Lab,1
OCSE-342T,Programming in Java,3
OCSE-342P,Programming in Java Lab,1
OCSE-407T,Introduction to Database Management Systems,3
OCSE-407P,Introduction to Database Management Systems Lab,1
OCSE-409,Operating Systems,4
OCSE-411T,Introduction to Computer Networks,3
OCSE-411P,Introduction to Computer Networks Lab,1
OCSE-413T,Introduction to Software Engineering,3
OCSE-413P,Introduction to Software Engineering Lab,1
OECE-312T,Introduction to Circuits and Systems,3
OECE-312P,Introduction to Circuits and Systems Lab,1
OECE-344T,Introduction to Analog Electronics,3
OECE-344P,Introduction to Analog Electronics Lab,1
OECE-314T,Electronic Devices and Circuits,3
OECE-314P,Electronic Devices and Circuits Lab,1
OECE-415,Digital Logic and Computer Design,4
OECE-417T,Microprocessors and Interfacing,3
OECE-417P,Microprocessors and Interfacing Lab,1
OECE-419T,Analog and Digital Communications,3
OECE-419P,Analog and Digital Communications Lab,1
OECE-421T,Wireless Sensor Networks,3
OECE-421P,Wireless Sensor Networks Lab,1
OECE-423,Control Systems,4
OECE-425T,Introduction to Computer Networks,3
OECE-425P,Introduction to Computer Networks Lab,1
OEE-316T,Introduction to Circuits and Systems,3
OEE-316P,Introduction to Circuits and Systems Lab,1
OEE-346T,Introduction to Analog Electronics,3
OEE-346P,Introduction to Analog Electronics Lab,1
OEE-318T,Introduction to Electrical Machines,3
OEE-318P,Introduction to Electrical Machines Lab,1
OEE-427T,Control Systems for Electrical Engineering,3
OEE-427P,Control Systems for Electrical Engineering Lab,1
OEE-429T,"Generation, Transmission and Distribution",3
OEE-429P,"Generation, Transmission and Distribution Lab",1
OEE-431T,Introduction to Power Electronics,3
OEE-431P,Introduction to Power Electronics Lab,1
OSD-328T,C++ Programming,3
OSD-328P,C++ Programming Lab,1
OSD-330T,Programming in Windows Environment,3
OSD-330P,Programming in Windows Environment Lab,1
OSD-332T,Programming in Java,3
OSD-332P,Programming in Java Lab,1
OSD-334T,Android App Development,3
OSD-334P,Android App Development Lab,1
OSD-336T,Introduction to Database Management Systems,3
OSD-336P,Introduction to Database Management Systems Lab,1
OSD-445T,Data Structures and Algorithms,3
OSD-445P,Data Structures and Algorithms Lab,1
OSD-447T,Project Management,3
OSD-447P,Project Management Lab,1
OSD-449T,Design Patterns,3
OSD-449P,Design Patterns Lab,1
OSD-451T,Introduction to Software Engineering,3
OSD-451P,Introduction to Software Engineering Lab,1
OSD-453T,Advanced Java Programming,3
OSD-453P,Advanced Java Programming Lab,1
OSD-455T,Programming in Linux Environment,3
OSD-455P,Programming in Linux Environment Lab,1
OME-324T,Theory of Machines,3
OME-324P,Theory of Machines Lab,1
OME-326T,Materials and Machine Technology,3
OME-326P,Materials and Machine Technology Lab,1
OME-439T,Fluids and Thermal Engineering,3
OME-439P,Fluids and Thermal Engineering Lab,1
OME-441T,Mechanics and Design of Solids,3
OME-441P,Mechanics and Design of Solids Lab,1
OME-443T,Automation in Manufacturing,3
OME-443P,Automation in Manufacturing Lab,1
OICE-320T,Introduction to Sensors and Transducers,3
OICE-320P,Introduction to Sensors and Transducers Lab,1
OICE-322T,Measurement and Control,3
OICE-322P,Measurement and Control Lab,1
OICE-433,Process Control,4
OICE-435T,Introduction to Industrial Instrumentation,3
OICE-435P,Introduction to Industrial Instrumentation Lab,1
OICE-437T,Bio Medical Instrumentation,3
OICE-437P,Bio Medical Instrumentation Lab,1
OCE-302,Structural Analysis and Design,4
OCE-304,Pipe and Open Channel Hydraulics,4
OCE-401,Green Building Construction Materials and Practices,4
OCE-403,Public Health Engineering,4
OCE-405,Geotechnical and Transportation Engineering,4
OUHV-338,"Understanding Human Being, Nature and Existence Comprehensively",4
OUHV-340,Vision for Humane Society,4
OUHV-457,Human Values and Madhyasth Darshan,4
OUHV-459,Human Values in Buddh and Jain Darshan,4
OUHV-461,"Human Values in Vedic Darshan (Sankhya, Yoga and Vedanta)",4
OUHV-463,Holistic Human Health,4
OUHV-465,Human Sociology,4
OUHV-467,Human Economics,4
